product_name,description,brand,rating,image_url,link
Neutrogena Hydro Boost Hydrogel Recovery Mask 30ml,Replenish wanting skin with the ,Neutrogena®,4.33,https://static.thcdn.com/images/large/original/productimg/1600/1600/11671608-1494654306581264.jpg,https://www.lookfantastic.com/neutrogena-hydro-boost-hydrogel-recovery-mask-30ml/11671608.html
Holika Holika Baby Silky Hand Mask Sheet,Envelop hands in a veil of moisture with ,Holika Holika,4.75,https://static.thcdn.com/images/large/original/productimg/1600/1600/11693582-1664559171397939.jpg,https://www.lookfantastic.com/holika-holika-baby-silky-hand-mask-sheet/11693582.html
Origins Clear Improvement Active Charcoal Mask to Clear Pores 75ml,Promote a clear and purified complexion with the,Origins,3.75,https://static.thcdn.com/images/large/original/productimg/1600/1600/12013399-8704643165138751.jpg,https://www.lookfantastic.com/origins-clear-improvement-active-charcoal-mask-to-clear-pores-75ml/12013399.html
APIVITA Express Purifying Face Mask for Oily Skin - Propolis 2x8ml,"Catering specifically for oily skin, ",APIVITA,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11902643-9464615737498798.jpg,https://www.lookfantastic.com/apivita-express-purifying-face-mask-for-oily-skin-propolis-2x8ml/11902643.html
BARBER PRO Face Putty Black Peel-Off Mask with Activated Charcoal (3 Applications),Purify the complexion with the ,BARBER PRO,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11432729-2004600696014723.jpg,https://www.lookfantastic.com/barber-pro-face-putty-black-peel-off-mask-with-activated-charcoal-3-applications/11432729.html
Peter Thomas Roth Cucumber Gel Mask 150ml,"An ultra gentle, ultra effective, anti irritant gel, Peter Thomas Roth Radiance Cucumber Gel Masque contains a non stinging formula suitable for all skin types that soothes skin after irritating procedures including waxing, peels and electrolysis.",Peter Thomas Roth,4.69,https://static.thcdn.com/images/large/original//productimg/1600/1600/10365298-8764866607667961.jpg,https://www.lookfantastic.com/peter-thomas-roth-cucumber-gel-mask-150ml/10365298.html
REN Clean Skincare Evercalm Ultra Comforting Rescue Mask 50ml,Treat your complexion to the ,REN Clean Skincare,4.94,https://static.thcdn.com/images/large/original//productimg/1600/1600/11381174-1864871559380616.jpg,https://www.lookfantastic.com/ren-clean-skincare-evercalm-ultra-comforting-rescue-mask-50ml/11381174.html
APIVITA Express Moisturizing Face Mask - Honey 2x8ml,Improve your skin's overall appearance with the ,APIVITA,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11902640-1054615737243069.jpg,https://www.lookfantastic.com/apivita-express-moisturizing-face-mask-honey-2x8ml/11902640.html
Garnier Ultralift Anti Ageing Radiance Boosting Face Sheet Mask 32g,Restore a youthful radiance to skin with the ,Garnier,5,https://static.thcdn.com/images/large/original//productimg/1600/1600/11850181-1594750000748238.jpg,https://www.lookfantastic.com/garnier-ultralift-anti-ageing-radiance-boosting-face-sheet-mask-32g/11850181.html
,description,brand,rating,image_url,https://www.lookfantastic.com/avene-les-essentiels-soothing-radiance-mask-for-dry-sensitive-skin-50ml/12312814.html
FOREO Call it a Night UFO/UFO Mini Nourishing and Revitalising Face Mask (7 Pack),Maintain flawless skin with ,FOREO,4.43,https://static.thcdn.com/images/large/original//productimg/1600/1600/11740181-2124873401297204.jpg,https://www.lookfantastic.com/foreo-call-it-a-night-ufo-ufo-mini-nourishing-and-revitalising-face-mask-7-pack/11740181.html
Origins Out of Trouble 10 Minute Mask to Rescue Problem Skin 75ml,The ,Origins,3.9,https://static.thcdn.com/images/large/original/productimg/1600/1600/12013398-5594643165107671.jpg,https://www.lookfantastic.com/origins-out-of-trouble-10-minute-mask-to-rescue-problem-skin-75ml/12013398.html
BeautyPro CBD Oil Infused Sheet Mask 22ml,"Enriched with the nourishing benefits of CBD, the ",BeautyPro,4.77,https://static.thcdn.com/images/large/original//productimg/1600/1600/12371988-1754734147353361.jpg,https://www.lookfantastic.com/beautypro-cbd-oil-infused-sheet-mask-22ml/12371988.html
Peter Thomas Roth Cucumber Hydra-Gel Eye Masks 60 masks,Awaken tired eyes with the ,Peter Thomas Roth,4.4,https://static.thcdn.com/images/large/original//productimg/1600/1600/11381908-1224866655277694.jpg,https://www.lookfantastic.com/peter-thomas-roth-cucumber-hydra-gel-eye-masks-60-masks/11381908.html
Rodial Dragon's Blood Eye Mask Single,Rewaken your eyes with ,Rodial,4.5,https://static.thcdn.com/images/large/original//productimg/1600/1600/11330916-1294869998704200.jpg,https://www.lookfantastic.com/rodial-dragon-s-blood-eye-mask-single/11330916.html
Holika Holika Skin Rescuer Mask Sheet - Collagen,Treat your complexion to the ,Holika Holika,4.67,https://static.thcdn.com/images/large/original/productimg/1600/1600/11693490-1524559165613168.jpg,https://www.lookfantastic.com/holika-holika-skin-rescuer-mask-sheet-collagen/11693490.html
Lancôme Génifique Hydrogel Sheet Mask (1 Mask),Achieve a radiant complexion in just 20 minutes with the ,Lancôme,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11536785-5774544997177339.jpg,https://www.lookfantastic.com/lancome-genifique-hydrogel-sheet-mask-1-mask/11536785.html
AHAVA Single Use Clearing Mask 6ml,Clarify your complexion with ,AHAVA,4,https://static.thcdn.com/images/large/original/productimg/1600/1600/12054113-1784660541571813.jpg,https://www.lookfantastic.com/ahava-single-use-clearing-mask-6ml/12054113.html
Chantecaille Bio Lifting Mask - 50ml,Rediscover your skin's youthful capacity with ,Chantecaille,4.71,https://static.thcdn.com/images/large/original//productimg/1600/1600/11219032-1214786219953549.jpg,https://www.lookfantastic.com/chantecaille-bio-lifting-mask-50ml/11219032.html
Liz Earle Deep Cleansing Mask 75ml,Award-winning beauty brand,Liz Earle,3.75,https://static.thcdn.com/images/large/original//productimg/1600/1600/12540067-1274764963995007.jpg,https://www.lookfantastic.com/liz-earle-deep-cleansing-mask-75ml/12540067.html
FARMACY Honey Potion Renewing Antioxidant Hydration Mask,Pamper your skin with ,FARMACY,4.5,https://static.thcdn.com/images/large/original//productimg/1600/1600/11787598-1294875654505599.jpg,https://www.lookfantastic.com/farmacy-honey-potion-renewing-antioxidant-hydration-mask/11787598.html
Neutrogena Radiance Boost Hydrogel Recovery Mask 30ml,"Transform tired, lack-lustre skin with the ",Neutrogena®,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11671610-1544654309893444.jpg,https://www.lookfantastic.com/neutrogena-radiance-boost-hydrogel-recovery-mask-30ml/11671610.html
